id,name,host_is_superhost,created_at,updated_at
3718,Britta,0,25/02/2024 19:21,25/02/2024 19:21
33852,Philipp,1,25/02/2024 19:21,25/02/2024 19:21
882801,Minel,1,25/02/2024 19:21,25/02/2024 19:21
55531,Chris + Oliver,1,25/02/2024 19:21,25/02/2024 19:21
64696,Rene,0,25/02/2024 19:21,25/02/2024 19:21
897302,Paul,1,25/02/2024 19:21,25/02/2024 19:21
68997,Matthias,0,25/02/2024 19:21,25/02/2024 19:21
898345,Susanne,1,25/02/2024 19:21,25/02/2024 19:21
71331,Marc,1,25/02/2024 19:21,25/02/2024 19:21
910884,Kristian,0,25/02/2024 19:21,25/02/2024 19:21
907038,Katarina-Susanne,0,25/02/2024 19:21,25/02/2024 19:21
86159,Javier,1,25/02/2024 19:21,25/02/2024 19:21
87357,Ramfis,1,25/02/2024 19:21,25/02/2024 19:21
94918,Tanja,0,25/02/2024 19:21,25/02/2024 19:21
920085,Ursula,0,25/02/2024 19:21,25/02/2024 19:21
98237,Damian,0,25/02/2024 19:21,25/02/2024 19:21
923408,Anne,0,25/02/2024 19:21,25/02/2024 19:21
112675,Terri,1,25/02/2024 19:21,25/02/2024 19:21
929861,Mandy,1,25/02/2024 19:21,25/02/2024 19:21
868282,Frank,1,25/02/2024 19:21,25/02/2024 19:21
54283,Marine,1,25/02/2024 19:21,25/02/2024 19:21
939230,Nana M,1,25/02/2024 19:21,25/02/2024 19:21
943996,Monika,0,25/02/2024 19:21,25/02/2024 19:21
485838,Michele,0,25/02/2024 19:21,25/02/2024 19:21
944530,Christian,1,25/02/2024 19:21,25/02/2024 19:21
145583,Christian,1,25/02/2024 19:21,25/02/2024 19:21
868242,Happy Vegan,0,25/02/2024 19:21,25/02/2024 19:21
159734,Bernd,1,25/02/2024 19:21,25/02/2024 19:21
969532,Wendy,0,25/02/2024 19:21,25/02/2024 19:21
161823,Iván,1,25/02/2024 19:21,25/02/2024 19:21
977942,Rainer,0,25/02/2024 19:21,25/02/2024 19:21
179110,Bn,1,25/02/2024 19:21,25/02/2024 19:21
