id,name,host_id,room_type,price,minimum_nights,listing_url,created_at,updated_at
3176,Rental unit in Berlin · ★4.63 · 1 bedroom · 2 beds · 1 bath,3718,Entire home/apt,83,63,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
9991,Rental unit in Berlin · ★5.0 · 4 bedrooms · 7 beds · 2.5 baths,33852,Entire home/apt,180,6,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
183988,Rental unit in Berlin · ★4.69 · 1 bedroom · 2 beds · 1 bath,882801,Entire home/apt,116,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
14325,Rental unit in Berlin · ★4.68 · Studio · 1 bed · 1 bath,55531,Entire home/apt,70,150,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
16644,Condo in Berlin · ★4.72 · 1 bedroom · 1 bed · 1 bath,64696,Entire home/apt,90,93,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
186663,Rental unit in Berlin · ★4.40 · 1 bedroom · 2 beds · 1 bath,897302,Entire home/apt,100,183,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
17904,Rental unit in Berlin · ★4.77 · Studio · 1 bed · 1 bath,68997,Entire home/apt,25,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
186851,Rental unit in Berlin · ★4.66 · 1 bedroom · 2 beds · 1 bath,898345,Entire home/apt,45,93,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
20858,Loft in Berlin · ★4.50 · 2 bedrooms · 2 beds · 1 bath,71331,Entire home/apt,179,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
188922,Rental unit in Berlin · ★4.31 · 1 bedroom · 2 beds · 1 bath,910884,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
21869,Rental unit in Berlin · ★4.74 · 1 bedroom · 2 beds · 1 bath,64696,Entire home/apt,70,93,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
189288,Townhouse in Berlin · ★4.75 · 2 bedrooms · 2 beds · 1 bath,907038,Entire home/apt,120,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
22438,Rental unit in Berlin · ★4.70 · 2 bedrooms · 4 beds · 1 bath,86159,Entire home/apt,53,93,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
22677,Rental unit in Berlin · ★4.80 · 2 bedrooms · 5 beds · 1 bath,87357,Entire home/apt,143,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
23834,Condo in Berlin · ★4.37 · 1 bedroom · 3 beds · 1 bath,94918,Entire home/apt,65,185,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
190448,Guest suite in Berlin · ★4.69 · Studio · 2 beds · 1 bath,920085,Entire home/apt,64,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
24298,Rental unit in Berlin · ★4.80 · 1 bedroom · 1 bed · 1 bath,98237,Entire home/apt,85,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
191023,Rental unit in Berlin · ★4.73 · 2 bedrooms · 1 bed · 1 bath,923408,Private room,,93,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
26543,Rental unit in Berlin · ★4.66 · 2 bedrooms · 4 beds · 2 baths,112675,Entire home/apt,,91,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
192050,Rental unit in Berlin · ★4.77 · 2 bedrooms · 4 beds · 1 bath,929861,Entire home/apt,48,200,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
192499,Place to stay in Berlin · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,868282,Private room,63,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28156,Rental unit in Berlin · ★4.66 · Studio · 1 bed · 1 bath,55531,Entire home/apt,70,150,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
29279,Rental unit in Berlin · ★4.81 · 2 bedrooms · 3 beds · 1 bath,54283,Entire home/apt,120,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
193601,Rental unit in Berlin · 2 bedrooms · 1 bed · 1 bath,939230,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
194374,Home in Berlin · ★4.13 · 2 bedrooms · 4 beds · 1 bath,943996,Entire home/apt,100,5,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
30295,Rental unit in Berlin · ★4.79 · 2 bedrooms · 4 beds · 1 bath,485838,Entire home/apt,142,4,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
194465,Loft in Berlin · ★4.90 · 1 bedroom · 1 bed · 1.5 baths,944530,Entire home/apt,93,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
34854,Rental unit in Berlin · 1 bedroom · 1 bed · 1 bath,145583,Entire home/apt,60,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
195413,Rental unit in Berlin · ★4.67 · 2 bedrooms · 4 beds · 1 bath,897302,Entire home/apt,250,183,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
198239,Loft in Berlin · ★4.60 · 1 bedroom · 1 bed · 1 bath,868242,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
37004,Rental unit in Berlin · ★4.72 · 1 bedroom · 1 bed · 1 shared bath,159734,Private room,56,8,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
198584,Rental unit in Berlin · ★4.67 · 1 bedroom · 1 bed · 2 baths,969532,Private room,38,14,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
37554,Rental unit in Berlin · ★4.38 · 4 bedrooms · 11 beds · 2 baths,161823,Entire home/apt,19,95,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
200125,Condo in Berlin · 2 bedrooms · 6 beds · 1 bath,977942,Entire home/apt,89,60,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
41217,Rental unit in Berlin · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,179110,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
42809,Rental unit in Berlin · ★4.91 · 2 bedrooms · 2 beds · 1 bath,186851,Entire home/apt,220,90,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
205296,Rental unit in Berlin · ★4.33 · 3 bedrooms · 4 beds · 1 bath,1009105,Entire home/apt,100,5,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
44083,Home in Berlin · ★4.30 · 1 bedroom · 1 bed · 1 bath,193038,Entire home/apt,80,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
206021,Rental unit in Berlin · ★4.25 · 1 bedroom · 1 bed · 1 shared bath,467895,Private room,35,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
44423,Rental unit in Berlin · ★4.83 · 1 bedroom · 1 bed · 1 private bath,194957,Private room,,82,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
207740,Rental unit in Berlin · ★5.0 · 3 bedrooms · 3 beds · 2 baths,1022663,Entire home/apt,,7,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
47227,Condo in Berlin · 1 bedroom · 1 bed · 1 bath,183337,Entire home/apt,69,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
208495,Rental unit in Berlin · 1 bedroom · 1 bed · 1 bath,965569,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
47938,Rental unit in Berlin · ★5.0 · 2 bedrooms · 3 beds · 2 baths,218479,Entire home/apt,,5,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
212470,Rental unit in Berlin · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,1095682,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
55853,Rental unit in Berlin · ★4.79 · 1 bedroom · 2 beds · 1 bath,264072,Entire home/apt,60,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
214518,Rental unit in Berlin · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,156897,Private room,40,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
57049,Rental unit in Berlin · ★4.92 · 2 bedrooms · 3 beds · 2 baths,54283,Entire home/apt,280,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
62613,Rental unit in Berlin · ★4.66 · Studio · 1 bed · 1 bath,227954,Entire home/apt,111,5,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
220445,Rental unit in Berlin · ★4.81 · 1 bedroom · 2 beds · 1 bath,1142834,Entire home/apt,55,30,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
221015,Rental unit in Berlin · ★4.81 · 2 bedrooms · 2 beds · 1 bath,1146238,Entire home/apt,92,5,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
63052,Rental unit in Berlin · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,307513,Private room,42,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
64014,Rental unit in Berlin · ★4.75 · 2 bedrooms · 2 beds · 2 baths,312896,Entire home/apt,179,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
222784,Rental unit in Berlin · ★4.72 · 1 bedroom · 2 beds · 1 bath,1156924,Entire home/apt,70,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
64245,Rental unit in Berlin · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,312373,Private room,86,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
64590,Rental unit in Berlin · ★4.99 · 2 bedrooms · 2 beds · 1 bath,315681,Entire home/apt,143,5,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
229099,Home in Berlin · ★4.94 · 1 bedroom · 1 bed · 1.5 shared baths,1196119,Private room,47,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
68448,Rental unit in Berlin · ★4.60 · Studio · 2 beds · 1 bath,163384,Entire home/apt,83,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
69780,Condo in Berlin · 1 bedroom · 1 bed · 1 bath,55531,Entire home/apt,106,150,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
229348,Rental unit in Berlin · ★4.62 · 1 bedroom · 3 beds · 1 bath,1195177,Entire home/apt,96,5,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
72079,Rental unit in Berlin · ★4.69 · 1 bedroom · 1 bed · 1.5 baths,261488,Entire home/apt,83,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
229363,Condo in Berlin · ★4.52 · 1 bedroom · 2 beds · 1 bath,1195177,Entire home/apt,91,5,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
229776,Rental unit in Berlin · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,956350,Private room,51,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
80843,Rental unit in Berlin · ★4.95 · Studio · 1 bed · 1 bath,437628,Entire home/apt,87,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
230611,Home in Berlin · ★5.0 · 4 bedrooms · 4 beds · 2.5 baths,1205340,Entire home/apt,99,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
81049,Rental unit in Berlin · ★4.95 · 2 bedrooms · 3 beds · 1 bath,249501,Entire home/apt,182,4,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
233083,Rental unit in Berlin · ★4.95 · 1 bedroom · 1 bed · 1 bath,1219893,Entire home/apt,105,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
81081,Rental unit in Berlin · ★4.93 · 1 bedroom · 1 bed · 1 bath,425899,Entire home/apt,69,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
83614,Rental unit in Berlin · ★4.86 · 2 bedrooms · 4 beds · 1.5 baths,456085,Entire home/apt,177,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
233770,Rental unit in Berlin · ★4.75 · 1 bedroom · 4 beds · 1 bath,1224097,Entire home/apt,59,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
237670,Rental unit in Berlin · ★4.83 · 1 bedroom · 1 bed · 1 bath,920085,Entire home/apt,57,4,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
85560,Condo in Berlin · ★4.71 · 2 bedrooms · 1 bed · 1 bath,451311,Entire home/apt,93,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
